window	Window_start	Window_end	chr	chr_start	chr_end	scaffold	scaf_start	scaf_end	rho_per_bp	rho_per_window
ChrZ	64392885	64592884	ChrZ	64546469	64756200	superscaffold69-1	619362	829093	0.000934	186.701002
ChrZ	64592885	64792884	ChrZ	64722303	64945805	superscaffold69-1	795196	1018698	0.000681	136.109148
ChrZ	64792885	64992884	ChrZ	64873204	65159534	superscaffold69-1	946097	1232427	0.000664	132.866926
ChrZ	64992885	65192884	ChrZ	64873204	65159534	superscaffold69-1	946097	1232427	0.000518	103.667599
ChrZ	65192885	65392884	ChrZ	65315079	65564144	superscaffold69-1	1387972	1637037	0.000644	128.83147
ChrZ	65392885	65592884	ChrZ	65520633	65736157	superscaffold69-1	1593526	1809050	0.000614	122.857311
ChrZ	65592885	65792884	ChrZ	65692419	65922581	superscaffold69-1	1765312	1995474	0.000754	150.843272
ChrZ	65792885	65992884	ChrZ	65873523	66187409	superscaffold69-1	1946416	2260302	0.000928	185.588035
ChrZ	65992885	66192884	ChrZ	65873523	66187409	superscaffold69-1	1946416	2260302	0.000838	167.687379
ChrZ	66192885	66392884	ChrZ	66111610	66457750	superscaffold69-1	2184503	2530643	0.000515	103.049245
ChrZ	66392885	66592884	ChrZ	66397900	66666331	superscaffold69-1	2470793	2739224	0.000757	151.342522
ChrZ	66592885	66792884	ChrZ	66792170	67130824	superscaffold69-1	2865063	3203717	0.00089	178.059719
ChrZ	66792885	66992884	ChrZ	66792170	67130824	superscaffold69-1	2865063	3203717	0.00059	118.016046
ChrZ	66992885	67192884	ChrZ	67061660	67323101	superscaffold69-1	3134553	3395994	0.000669	133.72772
ChrZ	67192885	67392884	ChrZ	67061660	67323101	superscaffold69-1	3134553	3395994	0.000784	156.72875
ChrZ	67392885	67592884	ChrZ	67496130	67698754	superscaffold69-1	3569023	3771647	0.001195	239.097934
ChrZ	67592885	67792884	ChrZ	67667281	67860947	superscaffold69-1	3740174	3933840	0.002311	462.294458
ChrZ	67792885	67992884	ChrZ	67813064	68069954	superscaffold69-1	3885957	4142847	0.001541	308.282626
ChrZ	67992885	68192884	ChrZ	68030635	68189712	superscaffold69-1	4103528	4262605	0.001416	283.230266
ChrZ	68192885	68392884	ChrZ	68321671	68550254	superscaffold69-1	4394564	4623147	0.000815	163.085936
ChrZ	68392885	68592884	ChrZ	68514590	68738194	superscaffold69-1	4587483	4811087	0.000925	184.921168
ChrZ	68592885	68792884	ChrZ	68691173	68924250	superscaffold69-1	4764066	4997143	0.001201	240.220834
ChrZ	68792885	68992884	ChrZ	68886558	69067214	superscaffold69-1	4959451	5140107	0.001265	252.913409
ChrZ	68992885	69192884	ChrZ	69040462	69249191	superscaffold69-1	5113355	5322084	0.001053	210.621067
ChrZ	69192885	69392884	ChrZ	69200024	69425261	superscaffold69-1	5272917	5498154	0.000447	89.392369
ChrZ	69392885	69592884	ChrZ	69200024	69425261	superscaffold69-1	5272917	5498154	0.000422	84.308298
ChrZ	69592885	69792884	ChrZ	69779842	69905499	superscaffold69-1	5852735	5978392	0.000345	69.018547
ChrZ	69792885	69992884	ChrZ	69910426	70144451	superscaffold93	4801	238826	0.000392	78.316358
ChrZ	69992885	70192884	ChrZ	70094767	70478745	superscaffold93	189142	573120	0.000242	48.306037
ChrZ	70192885	70392884	ChrZ	70094767	70478745	superscaffold93	189142	573120	0.000134	26.761639
ChrZ	70392885	70592884	ChrZ	70094767	70478745	superscaffold93	189142	573120	0.000234	46.892295
ChrZ	70592885	70792884	ChrZ	70711954	70899232	superscaffold93	806329	993607	0.000278	55.596041
ChrZ	70792885	70992884	ChrZ	70853932	71046205	superscaffold93	948307	1140580	0.000253	50.515515
ChrZ	70992885	71192884	ChrZ	71151777	71352691	superscaffold93	1246152	1447066	0.000266	53.149379
ChrZ	71192885	71392884	ChrZ	71151777	71352691	superscaffold93	1246152	1447066	0.000141	28.135698
ChrZ	71392885	71592884	ChrZ	71457033	71665619	superscaffold93	1551408	1759994	9.2e-05	18.426746
ChrZ	71592885	71792884	ChrZ	71779777	72000874	superscaffold93	1874152	2095249	0.00014	27.926662
ChrZ	71792885	71992884	ChrZ	71963188	72228731	superscaffold93	2057563	2323106	0.000198	39.695804
ChrZ	71992885	72192884	ChrZ	72165402	72500254	superscaffold93	2259777	2594629	0.000195	38.940117
ChrZ	72192885	72392884	ChrZ	72165402	72500254	superscaffold93	2259777	2594629	0.000191	38.26931
ChrZ	72392885	72592884	ChrZ	72165402	72500254	superscaffold93	2259777	2594629	0.000155	31.010422
ChrZ	72592885	72792884	ChrZ	72640502	72907829	superscaffold93	2734877	3002204	0.000184	36.873926
ChrZ	72792885	72992884	ChrZ	72856264	73072872	superscaffold93	2950639	3167247	0.000402	80.40447
ChrZ	72992885	73192884	ChrZ	73025811	73246784	superscaffold93	3120186	3341159	0.000654	130.877709
ChrZ	73192885	73392884	ChrZ	73347248	73524353	superscaffold93	3441623	3618728	0.001102	220.493177
ChrZ	73392885	73592884	ChrZ	73347248	73524353	superscaffold93	3441623	3618728	0.001225	244.934247
ChrZ	73592885	73792884	ChrZ	73653312	73820419	superscaffold93	3747687	3914794	0.001296	259.244511
ChrZ	73792885	73992884	ChrZ	73961471	74156911	superscaffold93	4055846	4251286	0.000652	130.436455
ChrZ	73992885	74192884	ChrZ	74125108	74326048	superscaffold93	4219483	4420423	0.001228	245.558872
ChrZ	74192885	74392884	ChrZ	74277454	74483122	superscaffold93	4371829	4577497	0.001494	298.84287
ChrZ	74392885	74592884	ChrZ	74441448	74650107	superscaffold93	4535823	4744482	0.00135	270.066575
ChrZ	74592885	74792884	ChrZ	74441448	74650107	superscaffold93	4535823	4744482	0.00151	302.086342
ChrZ	74792885	74992884	ChrZ	74894014	75082735	superscaffold63	4798	193519	0.000716	143.153775
ChrZ	74992885	75192884	ChrZ	75037115	75263262	superscaffold63	147899	374046	0.001132	226.456491
ChrZ	75192885	75392884	ChrZ	75217001	75455832	superscaffold63	327785	566616	0.000912	182.311669
ChrZ	75392885	75592884	ChrZ	75398631	75674294	superscaffold63	509415	785078	0.000339	67.850188
ChrZ	75592885	75792884	ChrZ	75398631	75674294	superscaffold63	509415	785078	0.000434	86.747481
ChrZ	75792885	75992884	ChrZ	75937515	76100821	superscaffold63	1048299	1211605	0.000861	172.126483
ChrZ	75992885	76192884	ChrZ	76066771	76252606	superscaffold63	1177555	1363390	0.000961	192.186831
ChrZ	76192885	76392884	ChrZ	76345834	76498799	superscaffold63	1456618	1609583	0.001246	249.227444
ChrZ	76392885	76592884	ChrZ	76499142	76581751	superscaffold63	1609926	1692535	0.000764	152.722997
ChrZ	76592885	76792884	ChrZ	76582787	76909406	superscaffold88	646	327265	0.000266	53.250028
ChrZ	76792885	76992884	ChrZ	76909805	77206091	superscaffold88	327664	623950	0.000219	43.865883
ChrZ	76992885	77192884	ChrZ	76909805	77206091	superscaffold88	327664	623950	0.000154	30.704314
ChrZ	77192885	77392884	ChrZ	77389910	77635559	superscaffold83	183655	429304	0.000252	50.335837
ChrZ	77392885	77592884	ChrZ	77574467	77891303	superscaffold83	368212	685048	0.00018	36.056371
ChrZ	77592885	77792884	ChrZ	77574467	77891303	superscaffold83	368212	685048	0.000191	38.145932
ChrZ	77792885	77992884	ChrZ	77574467	77891303	superscaffold83	368212	685048	0.000311	62.106215
ChrZ	77992885	78192884	ChrZ	78006334	78290158	superscaffold92	17573	301397	0.000227	45.435663
ChrZ	78192885	78392884	ChrZ	78247223	78538061	superscaffold92	258462	549300	0.000171	34.127777
ChrZ	78392885	78592884	ChrZ	78490905	78761976	superscaffold92	502144	773215	0.000213	42.582023
ChrZ	78592885	78792884	ChrZ	78490905	78761976	superscaffold92	502144	773215	0.000274	54.712847
ChrZ	78792885	78992884	ChrZ	78971941	79134451	superscaffold92	983180	1145690	0.000205	40.919604
ChrZ	78992885	79192884	ChrZ	79110454	79282009	superscaffold92	1121693	1293248	0.000437	87.325444
ChrZ	79192885	79392884	ChrZ	79236697	79571369	superscaffold92	1247936	1582608	0.000339	67.889797
ChrZ	79392885	79592884	ChrZ	79537466	79713378	superscaffold92	1548705	1724617	0.000327	65.489969
ChrZ	79592885	79792884	ChrZ	79675311	79836398	superscaffold92	1686550	1847637	0.000653	130.636965
ChrZ	79792885	79992884	ChrZ	79675311	79836398	superscaffold92	1686550	1847637	0.000624	124.837827
ChrZ	79992885	80192884	ChrZ	80146839	80295281	superscaffold92	2158078	2306520	0.000757	151.397022
ChrZ	80192885	80392884	ChrZ	80271086	80425040	superscaffold92	2282325	2436279	0.001965	392.925285
ChrZ	80392885	80592884	ChrZ	80559828	80705818	superscaffold92	2571067	2717057	0.001378	275.538431
ChrZ	80592885	80792884	ChrZ	80705835	80816980	superscaffold92	2717074	2828219	0.001046	209.229344
ChrZ	80792885	80992884	ChrZ	80705835	80816980	superscaffold92	2717074	2828219	0.000549	109.782473
ChrZ	80992885	81192884	NA	NA	NA	NA	NA	NA	NA	NA
