Pos	female_cM	male_cM	sex_averaged_cM	female_smoothed25	male_smoothed25	sex_averaged_smoothed25
37094239	49.338	37.481	43.4095	48.895	37.749	43.322
37100072	46.471	37.481	41.976	48.904	37.751	43.328
37151754	49.338	37.481	43.4095	48.981	37.772	43.376
37158405	49.34	37.481	43.4105	48.991	37.774	43.383
41593206	57.571	39.091	48.331	56.372	39.327	48.319
42307225	60.143	39.091	49.617	57.704	39.567	49.122
42385431	60.138	39.091	49.6145	57.852	39.594	49.208
43113661	60.143	39.091	49.617	59.255	39.849	49.983
43121211	60.143	39.091	49.617	59.27	39.852	49.991
43129923	60.143	39.091	49.617	59.288	39.855	50.005
43132140	60.143	39.091	49.617	59.293	39.856	50.01
43134948	60.143	40.688	50.4155	59.299	39.857	50.016
43152449	60.143	40.688	50.4155	59.339	39.864	50.062
43153425	60.143	40.684	50.4135	59.341	39.864	50.064
43166487	60.144	40.688	50.416	59.368	39.869	50.087
43198879	60.143	40.688	50.4155	59.432	39.88	50.121
43988445	60.144	40.688	50.416	61.087	40.172	51.282
44169175	60.143	40.685	50.414	61.487	40.24	51.61
45728378	60.143	40.688	50.4155	65.001	40.829	54.226
45735721	60.143	40.688	50.4155	65.017	40.832	54.234
46277792	60.143	40.688	50.4155	66.163	41.031	54.605
49480515	75.684	41.662	58.673	73.543	41.895	50.476
49483270	75.685	42.227	58.956	73.549	41.895	50.47
49486645	75.685	42.411	59.048	73.557	41.896	50.462
49490790	75.685	42.597	59.141	73.566	41.897	50.453
50992472	78.026	42.641	60.3335	76.619	42.345	47.286
51689548	78.026	42.641	60.3335	77.7	42.624	46.082
51699366	78.684	42.641	60.6625	77.713	42.628	46.067
51738942	80.628	42.641	61.6345	77.767	42.645	46.005
53065777	81.163	44.199	29.466	79.562	43.169	42.39
54794371	81.163	44.199	29.466	81.415	43.929	36.906
54798863	81.162	44.199	29.466	81.419	43.932	36.896
54801241	81.163	44.199	29.466	81.421	43.933	36.891
55467764	81.162	44.199	29.466	81.742	44.26	35.063
55484690	81.163	44.199	29.466	81.746	44.267	35.009
55498327	81.163	44.199	29.466	81.749	44.273	34.966
55858885	81.163	44.199	29.466	81.792	44.428	33.769
55937081	81.163	44.199	29.466	81.793	44.461	33.5
58164348	81.162	44.199	29.466	81.528	45.696	27.518
58175814	81.163	45.775	30.5166666666667	81.53	45.705	27.509
58216972	81.163	45.781	30.5206666666667	81.535	45.74	27.479
62170466	81.163	50.54	33.6933333333333	81.188	49.779	32.959
62253806	81.163	50.54	33.6933333333333	81.182	49.897	33.094
62421858	81.163	50.54	33.6933333333333	81.172	50.141	33.348
62766501	81.163	50.54	33.6933333333333	81.163	50.67	33.78
62768216	81.163	50.54	33.6933333333333	81.163	50.673	33.782
62805020	81.163	50.54	33.6933333333333	81.163	50.732	33.821
62887673	81.163	50.54	33.6933333333333	81.163	50.864	33.91
62888262	81.163	50.54	33.6933333333333	81.163	50.865	33.91
66309078	81.163	59.211	39.474	81.163	57.485	38.324
66392494	81.163	59.211	39.474	81.163	57.676	38.451
67210880	81.163	59.211	39.474	81.163	59.688	39.792
67226486	81.163	59.211	39.474	81.163	59.728	39.819
67232729	81.163	59.211	39.474	81.163	59.744	39.829
67237727	81.163	59.211	39.474	81.163	59.757	39.838
67527694	81.163	59.211	39.474	81.163	60.496	40.331
67710739	81.163	59.211	39.474	81.163	60.957	40.638
67713101	81.163	60.874	40.5826666666667	81.163	60.963	40.642
67725034	81.163	60.874	40.5826666666667	81.163	60.993	40.662
67828583	81.163	60.874	40.5826666666667	81.163	61.255	40.836
67862790	81.163	60.874	40.5826666666667	81.163	61.342	40.895
67865338	81.163	60.874	40.5826666666667	81.163	61.349	40.899
68669949	81.163	62.302	41.5346666666667	81.163	63.476	42.318
68746111	81.163	63.729	42.486	81.163	63.698	42.465
68747320	81.163	63.729	42.486	81.163	63.701	42.468
68820813	81.163	63.729	42.486	81.163	63.924	42.616
68835550	81.163	63.729	42.486	81.163	63.966	42.644
68837126	81.163	63.729	42.486	81.163	63.971	42.647
68849083	81.163	63.729	42.486	81.163	64.004	42.669
68896390	81.163	63.729	42.486	81.163	64.132	42.755
69181459	81.163	64.718	43.1453333333333	81.163	64.894	43.263
69307097	81.163	68.154	45.436	81.163	65.224	43.483
69562371	81.163	68.761	45.8406666666667	81.163	65.886	43.924
72160319	81.163	74.914	49.9426666666667	81.158	72.39	48.26
74493215	81.163	75.729	50.486	81.159	79.097	52.731
74510437	81.163	75.729	50.486	81.159	79.154	52.769
75060419	81.163	80.408	53.6053333333333	81.16	81.153	54.102
75130379	81.163	80.408	53.6053333333333	81.161	81.395	54.263
75158429	81.163	80.408	53.6053333333333	81.161	81.489	54.326
75161174	81.163	80.408	53.6053333333333	81.161	81.498	54.332
75168335	81.163	80.408	53.6053333333333	81.161	81.522	54.348
75174667	81.163	80.408	53.6053333333333	81.161	81.543	54.362
75454840	81.163	82.722	55.148	81.162	82.488	54.992
75499646	81.163	82.722	55.148	81.162	82.641	55.094
75514039	81.163	82.722	55.148	81.162	82.69	55.126
75576227	81.163	82.722	55.148	81.163	82.901	55.267
75711528	81.163	82.722	55.148	81.163	83.356	55.57
75717776	81.163	82.722	55.148	81.163	83.376	55.584
75719170	81.163	82.722	55.148	81.163	83.381	55.587
75729870	81.163	82.722	55.148	81.163	83.417	55.611
75740889	81.163	82.722	55.148	81.163	83.454	55.636
75741879	81.163	82.722	55.148	81.164	83.457	55.638
75745388	81.163	82.722	55.148	81.164	83.469	55.646
75899167	81.163	82.722	55.148	81.164	83.981	55.987
76631684	81.166	92.276	61.5173333333333	81.169	86.443	57.629
76688608	81.175	92.276	61.5173333333333	81.17	86.636	57.757
76725357	81.163	92.276	61.5173333333333	81.17	86.76	57.84
77235451	81.163	92.276	61.5173333333333	81.174	88.491	58.994
77236914	81.163	92.276	61.5173333333333	81.174	88.496	58.998
77727172	81.163	92.276	61.5173333333333	81.179	90.159	60.106
78722860	81.163	92.276	61.5173333333333	81.19	93.521	62.347
78734007	81.163	92.276	61.5173333333333	81.19	93.558	62.372
78994237	81.323	92.294	61.5293333333333	81.194	94.434	62.956
78995813	81.164	92.276	61.5173333333333	81.194	94.439	62.959
79014070	81.165	92.276	61.5173333333333	81.194	94.5	63
