start	end	pair_cm	pair_cm_per_site	kosambi_r_length_region	kosambi_r_per_site	length_region
68820813	68835549	0	0	0	0	14736
68835550	68837125	0	0	0	0	1575
68837126	68849082	0	0	0	0	11956
68849083	68896389	0	0	0	0	47306
68896390	69181458	0.989000000000004	3.46934766441693e-06	0.00988871038626472	3.46889527630766e-08	285068
69181459	69307096	3.43599999999999	2.73486313745154e-05	0.0343060143141961	2.73056617988301e-07	125637
69307097	69562370	0.606999999999999	2.37784646241475e-06	0.00606970181952091	2.37772965394731e-08	255273
69562371	72160318	6.15300000000001	2.36840859340087e-06	0.0612212713989743	2.35652503299622e-08	2597947
72160319	74493214	0.814999999999998	3.49351342430756e-07	0.00814927828553417	3.49320405999163e-09	2332895
74493215	74510436	0	0	0	0	17221
74510437	75060418	4.679	8.50756662502887e-06	0.0466538933611235	8.48281910850075e-08	549981
75060419	75130378	0	0	0	0	69959
75130379	75158428	0	0	0	0	28049
75158429	75161173	0	0	0	0	2744
75161174	75168334	0	0	0	0	7160
75168335	75174666	0	0	0	0	6331
75174667	75454839	2.31399999999999	8.25921219822107e-06	0.0231234934280942	8.2533206130856e-08	280172
75454840	75499645	0	0	0	0	44805
75499646	75514038	0	0	0	0	14392
75514039	75576226	0	0	0	0	62187
75576227	75711527	0	0	0	0	135300
75711528	75717775	0	0	0	0	6247
75717776	75719169	0	0	0	0	1393
75719170	75729869	0	0	0	0	10699
75729870	75740888	0	0	0	0	11018
75740889	75741878	0	0	0	0	989
75741879	75745387	0	0	0	0	3508
75745388	75899166	0	0	0	0	153778
75899167	76631683	9.554	1.30427185208241e-05	0.094393962854579	1.28862663552167e-07	732516
76631684	76688607	0	0	0	0	56923
76688608	76725356	0	0	0	0	36748
76725357	77235450	0	0	0	0	510093
77235451	77236913	0	0	0	0	1462
77236914	77727171	0	0	0	0	490257
77727172	78722859	0	0	0	0	995687
78722860	78734006	0	0	0	0	11146
78734007	78994236	0.0180000000000007	6.91698465582263e-08	0.000179999992224026	6.91698435700965e-10	260229
78994237	78995812	0.0180000000000007	1.14285714285719e-05	0.000179999992224026	1.14285709348588e-07	1575
78995813	79014069	0	0	0	0	18256
