gg_chr	gg_start	gg_end	sc_scaffold	sc_scaffold_length	sc_start	sc_end
chromosome_1	140734549	140755268	superscaffold14	41358918	16152233	16173770
chromosome_1	140867394	140899690	superscaffold14	41358918	16301407	16334225
chromosome_1	140929073	140946704	superscaffold14	41358918	16366572	16385358
chromosome_1	140946728	140965157	superscaffold14	41358918	16386292	16403741
chromosome_1	140967843	140995911	superscaffold14	41358918	16405268	16434617
chromosome_1	141026732	141042061	superscaffold14	41358918	16470784	16487134
chromosome_1	141042168	141063560	superscaffold14	41358918	16486648	16508651
chromosome_1	141072150	141105073	superscaffold14	41358918	16518034	16551917
chromosome_1	141110188	141132442	superscaffold14	41358918	16560418	16584317
chromosome_1	141158022	141199365	superscaffold14	41358918	16619986	16663521
chromosome_1	141207045	141228309	superscaffold14	41358918	16673390	16694924
chromosome_1	141248510	141266293	superscaffold14	41358918	16722609	16742186
chromosome_1	117517468	117555208	superscaffold14	41358918	41316122	41353173
chromosome_1	117567076	117594830	superscaffold14	41358918	41271812	41299198
chromosome_1	117677900	117703749	superscaffold14	41358918	41165959	41193177
chromosome_1	117860747	117880806	superscaffold14	41358918	40969979	40990777
chromosome_1	117999701	118015586	superscaffold14	41358918	40811759	40828368
chromosome_1	118213314	118229338	superscaffold14	41358918	40584438	40601142
chromosome_1	118421322	118439285	superscaffold14	41358918	40338011	40356164
chromosome_1	118751187	118775724	superscaffold14	41358918	39890048	39914009
chromosome_1	119095067	119115324	superscaffold14	41358918	39529147	39550241
chromosome_1	119218933	119237822	superscaffold14	41358918	39393078	39413534
chromosome_1	119275931	119301059	superscaffold14	41358918	39320120	39346717
chromosome_1	119326032	119341439	superscaffold14	41358918	39270811	39286079
chromosome_1	119366717	119388291	superscaffold14	41358918	39219598	39241693
chromosome_1	119413522	119434706	superscaffold14	41358918	39163331	39186355
chromosome_1	119512453	119538786	superscaffold14	41358918	39044744	39073500
chromosome_1	119626125	119650083	superscaffold14	41358918	38912570	38936947
chromosome_1	119661277	119684073	superscaffold14	41358918	38873734	38897198
chromosome_1	119705615	119723534	superscaffold14	41358918	38827833	38847771
chromosome_1	119846295	119876000	superscaffold14	41358918	38640102	38671311
chromosome_1	119953905	119974546	superscaffold14	41358918	38522333	38543888
chromosome_1	119983174	120007430	superscaffold14	41358918	38488318	38512142
chromosome_1	120115558	120138434	superscaffold14	41358918	38352299	38375685
chromosome_1	120201232	120224485	superscaffold14	41358918	38256698	38281292
chromosome_1	120312239	120326826	superscaffold14	41358918	38146338	38161412
chromosome_1	120326768	120344236	superscaffold14	41358918	38126935	38145169
chromosome_1	120406846	120427257	superscaffold14	41358918	38035429	38056245
chromosome_1	120429434	120446551	superscaffold14	41358918	38011099	38029617
chromosome_1	120466162	120507666	superscaffold14	41358918	37942644	37986277
chromosome_1	120507093	120522468	superscaffold14	41358918	37927112	37942659
chromosome_1	120533201	120558294	superscaffold14	41358918	37888740	37915497
chromosome_1	120560612	120581619	superscaffold14	41358918	37868019	37888720
chromosome_1	120593385	120623732	superscaffold14	41358918	37823745	37853677
chromosome_1	120635182	120658962	superscaffold14	41358918	37786072	37809482
chromosome_1	120678283	120697667	superscaffold14	41358918	37741432	37762526
chromosome_1	120698114	120730379	superscaffold14	41358918	37707446	37739080
chromosome_1	120772302	120807655	superscaffold14	41358918	37620375	37657934
chromosome_1	120818079	120860819	superscaffold14	41358918	37566384	37609551
chromosome_1	120901140	120924176	superscaffold14	41358918	37500693	37523044
chromosome_1	121290452	121322859	superscaffold14	41358918	37055111	37088507
chromosome_1	121351594	121368677	superscaffold14	41358918	37009503	37027734
chromosome_1	121385226	121416656	superscaffold14	41358918	36960573	36993247
chromosome_1	121505709	121521665	superscaffold14	41358918	36850050	36866910
chromosome_1	121557496	121576311	superscaffold14	41358918	36790203	36809232
chromosome_1	121577385	121601729	superscaffold14	41358918	36761924	36786964
chromosome_1	121657875	121681405	superscaffold14	41358918	36656876	36682937
chromosome_1	121929020	121947340	superscaffold14	41358918	36313869	36332564
chromosome_1	121999698	122024347	superscaffold14	41358918	36235752	36261588
chromosome_1	122087240	122106724	superscaffold14	41358918	36136641	36155651
chromosome_1	122108693	122151036	superscaffold14	41358918	36089389	36136614
chromosome_1	122342482	122371445	superscaffold14	41358918	35869487	35899808
chromosome_1	122390619	122411715	superscaffold14	41358918	35824966	35846834
chromosome_1	122420465	122439083	superscaffold14	41358918	35790125	35810346
chromosome_1	122439079	122469588	superscaffold14	41358918	35759556	35789324
chromosome_1	122478454	122503121	superscaffold14	41358918	35724686	35750649
chromosome_1	122525110	122554469	superscaffold14	41358918	35664071	35693658
chromosome_1	122585624	122622383	superscaffold14	41358918	35589244	35626963
chromosome_1	122861736	122879846	superscaffold14	41358918	35277901	35297421
chromosome_1	123093270	123123350	superscaffold14	41358918	34996737	35028193
chromosome_1	123203112	123226099	superscaffold14	41358918	34869902	34894788
chromosome_1	123238865	123264002	superscaffold14	41358918	34833969	34859105
chromosome_1	123288352	123305318	superscaffold14	41358918	34790398	34807382
chromosome_1	123335848	123356521	superscaffold14	41358918	34727428	34748998
chromosome_1	123364440	123387560	superscaffold14	41358918	34692504	34716560
chromosome_1	123409775	123429142	superscaffold14	41358918	34638999	34658335
chromosome_1	123449062	123467590	superscaffold14	41358918	34600685	34620187
chromosome_1	123684036	123707468	superscaffold14	41358918	34303411	34326669
chromosome_1	123717415	123737477	superscaffold14	41358918	34273424	34293274
chromosome_1	123759882	123793404	superscaffold14	41358918	34209336	34244979
chromosome_1	123838557	123866092	superscaffold14	41358918	34135992	34162619
chromosome_1	123868347	123890602	superscaffold14	41358918	34106731	34128922
chromosome_1	123962802	123992645	superscaffold14	41358918	34014308	34046190
chromosome_1	124158510	124173680	superscaffold14	41358918	33835389	33851256
chromosome_1	124204286	124220775	superscaffold14	41358918	33784415	33802253
chromosome_1	124258172	124318765	superscaffold14	41358918	33680974	33745987
chromosome_1	124988633	125021711	superscaffold14	41358918	32979360	33012144
chromosome_1	125024297	125045255	superscaffold14	41358918	32958579	32979331
chromosome_1	125145962	125163071	superscaffold14	41358918	32838766	32857186
chromosome_1	125256751	125272422	superscaffold14	41358918	32710065	32725179
chromosome_1	125333218	125378308	superscaffold14	41358918	32597059	32642493
chromosome_1	125397472	125417963	superscaffold14	41358918	32550847	32572971
chromosome_1	125502159	125525291	superscaffold14	41358918	32425362	32448413
chromosome_1	125551964	125570754	superscaffold14	41358918	32369766	32390550
chromosome_1	125583718	125606518	superscaffold14	41358918	32330401	32355554
chromosome_1	125651019	125669298	superscaffold14	41358918	32264528	32283361
chromosome_1	125733466	125753362	superscaffold14	41358918	32168403	32189489
chromosome_1	125784831	125801639	superscaffold14	41358918	32133621	32151915
chromosome_1	125802043	125843032	superscaffold14	41358918	32089705	32131671
chromosome_1	125843215	125874983	superscaffold14	41358918	32056546	32088697
chromosome_1	125881624	125906282	superscaffold14	41358918	32027291	32051063
chromosome_1	125925268	125947324	superscaffold14	41358918	31990523	32012553
chromosome_1	125974898	125992162	superscaffold14	41358918	31943311	31962501
chromosome_1	126000555	126027454	superscaffold14	41358918	31903297	31930805
chromosome_1	126027539	126049729	superscaffold14	41358918	31876996	31902552
chromosome_1	126073633	126089450	superscaffold14	41358918	31832723	31850330
chromosome_1	126142356	126158615	superscaffold14	41358918	31773334	31789803
chromosome_1	126178027	126204184	superscaffold14	41358918	31725384	31752974
chromosome_1	126204315	126220435	superscaffold14	41358918	31704883	31721745
chromosome_1	126242121	126276665	superscaffold14	41358918	31640657	31676863
chromosome_1	126300522	126350708	superscaffold14	41358918	31557228	31610872
chromosome_1	126356794	126386780	superscaffold14	41358918	31514523	31547038
chromosome_1	126395612	126410409	superscaffold14	41358918	31491286	31507017
chromosome_1	126418043	126435179	superscaffold14	41358918	31469906	31487345
chromosome_1	126466779	126492438	superscaffold14	41358918	31402249	31428780
chromosome_1	126512773	126571563	superscaffold14	41358918	31316933	31377898
chromosome_1	126571574	126589862	superscaffold14	41358918	31297507	31315951
chromosome_1	126598635	126630379	superscaffold14	41358918	31256067	31290923
chromosome_1	126634017	126653505	superscaffold14	41358918	31230284	31250427
chromosome_1	126656988	126686111	superscaffold14	41358918	31197930	31228656
chromosome_1	126726653	126744380	superscaffold14	41358918	31142065	31159592
chromosome_1	126760859	126780804	superscaffold14	41358918	31104554	31125467
chromosome_1	126814516	126853551	superscaffold14	41358918	31025159	31064871
chromosome_1	126860651	126889355	superscaffold14	41358918	30986523	31015767
chromosome_1	126961435	126977959	superscaffold14	41358918	30896951	30914186
chromosome_1	126986733	127002445	superscaffold14	41358918	30872328	30889092
chromosome_1	127090263	127108301	superscaffold14	41358918	30749877	30768731
chromosome_1	127158364	127185842	superscaffold14	41358918	30665462	30693872
chromosome_1	127224848	127246141	superscaffold14	41358918	30596979	30619648
chromosome_1	127756205	127789660	superscaffold14	41358918	29962237	29996009
chromosome_1	128242372	128259610	superscaffold14	41358918	29413607	29431276
chromosome_1	128359737	128381615	superscaffold14	41358918	29278037	29301384
chromosome_1	129298487	129320481	superscaffold14	41358918	28000569	28024299
chromosome_1	129341295	129369835	superscaffold14	41358918	27956098	27983535
chromosome_1	129450602	129478220	superscaffold14	41358918	27848889	27878776
chromosome_1	129597383	129615278	superscaffold14	41358918	27692700	27711008
chromosome_1	129725996	129751036	superscaffold14	41358918	27546337	27570942
chromosome_1	129815901	129831588	superscaffold14	41358918	27429630	27445359
chromosome_1	129920584	129939507	superscaffold14	41358918	27305647	27326016
chromosome_1	129966217	129994272	superscaffold14	41358918	27242226	27271586
chromosome_1	130086169	130127053	superscaffold14	41358918	27101722	27144899
chromosome_1	130135609	130157634	superscaffold14	41358918	27062522	27085599
chromosome_1	130157639	130179395	superscaffold14	41358918	27040517	27063335
chromosome_1	130281958	130300738	superscaffold14	41358918	26897822	26917835
chromosome_1	130324102	130347070	superscaffold14	41358918	26839394	26865634
chromosome_1	130556967	130577358	superscaffold14	41358918	26572407	26592783
chromosome_1	130641764	130660320	superscaffold14	41358918	26479361	26498798
chromosome_1	130749354	130766759	superscaffold14	41358918	26362747	26379266
chromosome_1	130817302	130836232	superscaffold14	41358918	26293704	26313041
chromosome_1	130885834	130902527	superscaffold14	41358918	26223948	26240402
chromosome_1	130915771	130935431	superscaffold14	41358918	26189792	26209437
chromosome_1	130959749	130992694	superscaffold14	41358918	26136011	26169163
chromosome_1	130993342	131013641	superscaffold14	41358918	26116208	26136366
chromosome_1	131013762	131033387	superscaffold14	41358918	26095727	26114996
chromosome_1	131051547	131090859	superscaffold14	41358918	26030859	26070495
chromosome_1	131091266	131125639	superscaffold14	41358918	25994222	26029258
chromosome_1	131138533	131153582	superscaffold14	41358918	25963324	25979730
chromosome_1	131156231	131180207	superscaffold14	41358918	25934354	25958399
chromosome_1	131182342	131215510	superscaffold14	41358918	25899614	25934001
chromosome_1	131236108	131262392	superscaffold14	41358918	25850479	25878620
chromosome_1	131262393	131282993	superscaffold14	41358918	25827111	25849342
chromosome_1	131303740	131332575	superscaffold14	41358918	25770453	25801025
chromosome_1	131345635	131375164	superscaffold14	41358918	25724709	25754252
chromosome_1	131430483	131454932	superscaffold14	41358918	25627130	25654572
chromosome_1	131494009	131512339	superscaffold14	41358918	25563565	25582512
chromosome_1	131555896	131573615	superscaffold14	41358918	25479043	25497358
chromosome_1	131594009	131611837	superscaffold14	41358918	25440497	25458023
chromosome_1	131757988	131774958	superscaffold14	41358918	25242986	25260545
chromosome_1	131836494	131864272	superscaffold14	41358918	25136520	25165608
chromosome_1	131871546	131900751	superscaffold14	41358918	25096404	25127052
chromosome_1	131971259	131997062	superscaffold14	41358918	24995536	25022758
chromosome_1	132098301	132120259	superscaffold14	41358918	24849607	24871410
chromosome_1	132132852	132169851	superscaffold14	41358918	24803070	24839508
chromosome_1	132211212	132230102	superscaffold14	41358918	24737904	24757342
chromosome_1	132241850	132261429	superscaffold14	41358918	24699067	24719629
chromosome_1	132297817	132322155	superscaffold14	41358918	24625911	24652213
chromosome_1	132322385	132344702	superscaffold14	41358918	24600750	24624307
chromosome_1	132344679	132361233	superscaffold14	41358918	24581771	24600060
chromosome_1	132380069	132397927	superscaffold14	41358918	24546719	24566677
chromosome_1	132534426	132552398	superscaffold14	41358918	24384151	24404170
chromosome_1	132566325	132603347	superscaffold14	41358918	24328055	24364810
chromosome_1	132604085	132623423	superscaffold14	41358918	24305608	24325307
chromosome_1	132653034	132671821	superscaffold14	41358918	24255590	24274431
chromosome_1	132738009	132754511	superscaffold14	41358918	24172068	24190055
chromosome_1	132754548	132772132	superscaffold14	41358918	24152738	24170756
chromosome_1	132824472	132842269	superscaffold14	41358918	24080142	24096512
chromosome_1	132884674	132910510	superscaffold14	41358918	24009144	24033590
chromosome_1	132959444	132984774	superscaffold14	41358918	23920917	23948618
chromosome_1	133031337	133052847	superscaffold14	41358918	23849895	23870421
chromosome_1	133076684	133101113	superscaffold14	41358918	23796389	23821989
chromosome_1	133181503	133206964	superscaffold14	41358918	23653938	23681354
chromosome_1	133207540	133228484	superscaffold14	41358918	23629698	23651915
chromosome_1	133308021	133327613	superscaffold14	41358918	23495544	23516719
chromosome_1	133325685	133355210	superscaffold14	41358918	23467655	23499157
chromosome_1	133431002	133447912	superscaffold14	41358918	23362461	23380045
chromosome_1	133447909	133466528	superscaffold14	41358918	23342629	23361437
chromosome_1	133469003	133485590	superscaffold14	41358918	23323090	23339848
chromosome_1	133550156	133583270	superscaffold14	41358918	23191274	23227087
chromosome_1	133612640	133637548	superscaffold14	41358918	23118924	23144438
chromosome_1	133683354	133702341	superscaffold14	41358918	23053563	23075571
chromosome_1	133702537	133722249	superscaffold14	41358918	23030730	23052749
chromosome_1	133722908	133743062	superscaffold14	41358918	23009616	23030771
chromosome_1	133743146	133768731	superscaffold14	41358918	22981904	23008487
chromosome_1	133809328	133833201	superscaffold14	41358918	22905309	22931486
chromosome_1	133867632	133885143	superscaffold14	41358918	22833329	22853558
chromosome_1	133911017	133928905	superscaffold14	41358918	22780380	22797928
chromosome_1	133960709	133975671	superscaffold14	41358918	22727960	22743404
chromosome_1	133975733	133992814	superscaffold14	41358918	22710307	22727114
chromosome_1	133992781	134031455	superscaffold14	41358918	22669998	22709660
chromosome_1	134064193	134100304	superscaffold14	41358918	22600371	22638622
chromosome_1	134111383	134159157	superscaffold14	41358918	22542772	22589409
chromosome_1	134161402	134181570	superscaffold14	41358918	22521344	22541948
chromosome_1	134181988	134200270	superscaffold14	41358918	22503481	22521644
chromosome_1	134208620	134235571	superscaffold14	41358918	22465465	22492745
chromosome_1	134238099	134257503	superscaffold14	41358918	22445073	22465470
chromosome_1	134259781	134275214	superscaffold14	41358918	22423695	22440035
chromosome_1	134350331	134372503	superscaffold14	41358918	22313517	22335958
chromosome_1	134387789	134410695	superscaffold14	41358918	22270907	22296275
chromosome_1	134475970	134494811	superscaffold14	41358918	22168396	22186586
chromosome_1	134656431	134672972	superscaffold14	41358918	21977883	21994710
chromosome_1	134702352	134718003	superscaffold14	41358918	21933305	21950537
chromosome_1	134758560	134783249	superscaffold14	41358918	21858316	21884135
chromosome_1	134794586	134812357	superscaffold14	41358918	21828537	21846572
chromosome_1	134817219	134853401	superscaffold14	41358918	21786196	21823770
chromosome_1	134876996	134901081	superscaffold14	41358918	21729954	21757998
chromosome_1	134901147	134916246	superscaffold14	41358918	21712507	21728674
chromosome_1	134926131	134951640	superscaffold14	41358918	21669615	21697712
chromosome_1	134951772	134979300	superscaffold14	41358918	21640191	21668600
chromosome_1	134977682	135015256	superscaffold14	41358918	21603314	21641003
chromosome_1	135016192	135034294	superscaffold14	41358918	21583823	21603183
chromosome_1	135036851	135060201	superscaffold14	41358918	21552299	21576805
chromosome_1	135076764	135095164	superscaffold14	41358918	21514561	21534003
chromosome_1	135096841	135120595	superscaffold14	41358918	21486593	21510717
chromosome_1	135266474	135292832	superscaffold14	41358918	21280582	21308868
chromosome_1	135298615	135316233	superscaffold14	41358918	21254646	21272425
chromosome_1	135318093	135344438	superscaffold14	41358918	21222432	21250328
chromosome_1	135372665	135390872	superscaffold14	41358918	21175637	21194326
chromosome_1	135394641	135414713	superscaffold14	41358918	21152920	21174010
chromosome_1	135414750	135449428	superscaffold14	41358918	21117068	21152263
chromosome_1	135450363	135471154	superscaffold14	41358918	21094874	21117061
chromosome_1	135477789	135504370	superscaffold14	41358918	21060264	21087126
chromosome_1	135513873	135532027	superscaffold14	41358918	21031236	21049449
chromosome_1	135580513	135608025	superscaffold14	41358918	20958968	20986800
chromosome_1	135678124	135700128	superscaffold14	41358918	20859133	20882615
chromosome_1	135756776	135776521	superscaffold14	41358918	20776216	20797466
chromosome_1	135796922	135838534	superscaffold14	41358918	20720142	20760186
chromosome_1	135838511	135858118	superscaffold14	41358918	20697784	20717597
chromosome_1	135886241	135909912	superscaffold14	41358918	20639128	20663342
chromosome_1	135908892	135934260	superscaffold14	41358918	20614994	20639128
chromosome_1	135946971	135974133	superscaffold14	41358918	20567863	20598313
chromosome_1	135977942	136009786	superscaffold14	41358918	20530344	20561520
chromosome_1	136010442	136026704	superscaffold14	41358918	20514834	20530503
chromosome_1	136026723	136065178	superscaffold14	41358918	20474870	20514124
chromosome_1	136075942	136095714	superscaffold14	41358918	20444645	20464642
chromosome_1	136095784	136110406	superscaffold14	41358918	20428113	20443512
chromosome_1	136129165	136217424	superscaffold14	41358918	20317077	20404404
chromosome_1	136217435	136272852	superscaffold14	41358918	20256313	20316066
chromosome_1	136281134	136313102	superscaffold14	41358918	20210511	20243863
chromosome_1	136349914	136373213	superscaffold14	41358918	20140355	20164219
chromosome_1	136500945	136520158	superscaffold14	41358918	19958158	19979436
chromosome_1	136524268	136554242	superscaffold14	41358918	19922181	19951331
chromosome_1	136568261	136602653	superscaffold14	41358918	19866861	19904097
chromosome_1	136605268	136630728	superscaffold14	41358918	19837463	19864042
chromosome_1	136876306	136898998	superscaffold14	41358918	19495971	19518131
chromosome_1	136899179	136918314	superscaffold14	41358918	19474147	19494891
chromosome_1	136965459	136982179	superscaffold14	41358918	19403411	19420391
chromosome_1	136982193	137002885	superscaffold14	41358918	19380633	19402795
chromosome_1	137006432	137030359	superscaffold14	41358918	19351472	19377313
chromosome_1	137106583	137129190	superscaffold14	41358918	19248286	19268688
chromosome_1	137129202	137157761	superscaffold14	41358918	19219548	19247021
chromosome_1	137156668	137204637	superscaffold14	41358918	19171771	19219572
chromosome_1	137274680	137306451	superscaffold14	41358918	19080969	19111363
chromosome_1	137416071	137445007	superscaffold14	41358918	18935255	18964960
chromosome_1	137829952	137855876	superscaffold14	41358918	18652124	18679930
chromosome_1	137885931	137911464	superscaffold14	41358918	18594906	18619950
chromosome_1	137938033	137958205	superscaffold14	41358918	18538393	18561042
chromosome_1	137966408	137983138	superscaffold14	41358918	18509217	18526219
chromosome_1	138034289	138049562	superscaffold14	41358918	18437050	18452303
chromosome_1	138126984	138153137	superscaffold14	41358918	18320183	18349061
chromosome_1	138188221	138206439	superscaffold14	41358918	18246588	18265151
chromosome_1	138206444	138231405	superscaffold14	41358918	18219102	18245463
chromosome_1	138262871	138279429	superscaffold14	41358918	18137988	18155307
chromosome_1	138308179	138327989	superscaffold14	41358918	18077457	18098138
chromosome_1	138373062	138398375	superscaffold14	41358918	17997775	18022393
chromosome_1	138457894	138479842	superscaffold14	41358918	17913698	17936068
chromosome_1	138516023	138538095	superscaffold14	41358918	17825115	17849715
chromosome_1	138674187	138702926	superscaffold14	41358918	17596335	17625814
chromosome_1	138733166	138757341	superscaffold14	41358918	17534889	17558902
chromosome_1	138773986	138790637	superscaffold14	41358918	17496619	17514683
chromosome_1	138844278	138861975	superscaffold14	41358918	17403486	17423030
chromosome_1	138886427	138908453	superscaffold14	41358918	17350577	17373629
chromosome_1	138919490	138940521	superscaffold14	41358918	17308208	17330691
chromosome_1	138950770	138965482	superscaffold14	41358918	17273833	17289896
chromosome_1	138965514	138983218	superscaffold14	41358918	17254162	17273074
chromosome_1	139029547	139049449	superscaffold14	41358918	17174231	17195516
chromosome_1	141635382	141650768	superscaffold14	41358918	14507455	14524147
chromosome_1	141797007	141821494	superscaffold14	41358918	14322859	14347331
chromosome_1	141856533	141890541	superscaffold14	41358918	14247464	14283567
chromosome_1	142024331	142043985	superscaffold14	41358918	14079482	14099951
chromosome_1	142076016	142096185	superscaffold14	41358918	14028064	14048832
chromosome_1	142248618	142269027	superscaffold14	41358918	13825617	13844710
chromosome_1	142338674	142361260	superscaffold14	41358918	13730630	13753972
chromosome_1	142361259	142401961	superscaffold14	41358918	13688851	13729784
chromosome_1	142409077	142429711	superscaffold14	41358918	13658810	13680087
chromosome_1	142431151	142447126	superscaffold14	41358918	13636999	13653730
chromosome_1	142495006	142572566	superscaffold14	41358918	13518652	13596787
chromosome_1	142595488	142618173	superscaffold14	41358918	13476168	13499125
chromosome_1	142622076	142654029	superscaffold14	41358918	13443174	13475771
chromosome_1	142707830	142752131	superscaffold14	41358918	13350275	13394925
chromosome_1	142752147	142772066	superscaffold14	41358918	13330649	13351674
chromosome_1	143630438	143659717	superscaffold14	41358918	12352813	12383396
chromosome_1	143968446	143988191	superscaffold14	41358918	12004198	12023279
chromosome_1	143988228	144012277	superscaffold14	41358918	11982079	12006365
chromosome_1	144047470	144077999	superscaffold14	41358918	11916279	11946776
chromosome_1	144145297	144166202	superscaffold14	41358918	11819041	11840343
chromosome_1	144193359	144216876	superscaffold14	41358918	11764983	11788144
chromosome_1	144283410	144307376	superscaffold14	41358918	11646240	11671527
chromosome_1	144410561	144436490	superscaffold14	41358918	11509680	11535773
chromosome_1	144440964	144458099	superscaffold14	41358918	11489248	11507528
chromosome_1	144465891	144488755	superscaffold14	41358918	11452971	11476253
chromosome_1	144549221	144565225	superscaffold14	41358918	11368038	11385454
chromosome_1	144652100	144671900	superscaffold14	41358918	11246376	11267110
chromosome_1	144677257	144704147	superscaffold14	41358918	11215154	11241776
chromosome_1	144713800	144732357	superscaffold14	41358918	11185001	11202425
chromosome_1	144732350	144755053	superscaffold14	41358918	11159657	11183458
chromosome_1	144784340	144804824	superscaffold14	41358918	11111060	11130825
chromosome_1	144824876	144841140	superscaffold14	41358918	11075539	11093394
chromosome_1	144843691	144865608	superscaffold14	41358918	11048341	11070622
chromosome_1	144889789	144906033	superscaffold14	41358918	11003831	11020077
chromosome_1	144906776	144923616	superscaffold14	41358918	10985613	11002009
chromosome_1	144925344	144950320	superscaffold14	41358918	10953878	10980070
chromosome_1	144958094	144980630	superscaffold14	41358918	10920354	10944701
chromosome_1	145007318	145045845	superscaffold14	41358918	10850572	10891895
chromosome_1	145098244	145117597	superscaffold14	41358918	10771264	10790884
chromosome_1	145170278	145191476	superscaffold14	41358918	10685970	10705875
chromosome_1	145469305	145488401	superscaffold14	41358918	10376493	10396614
chromosome_1	145506955	145525536	superscaffold14	41358918	10330350	10350850
chromosome_1	145528843	145549816	superscaffold14	41358918	10306020	10326840
chromosome_1	145555709	145574399	superscaffold14	41358918	10279158	10297634
chromosome_1	145592169	145613643	superscaffold14	41358918	10234281	10256205
chromosome_1	145638930	145655065	superscaffold14	41358918	10191282	10208205
chromosome_1	145755903	145814581	superscaffold14	41358918	9987783	10051919
chromosome_1	145815316	145848663	superscaffold14	41358918	9947019	9983265
chromosome_1	145883830	145902804	superscaffold14	41358918	9884621	9905584
chromosome_1	145917525	145932784	superscaffold14	41358918	9840972	9856035
chromosome_1	145949584	145968580	superscaffold14	41358918	9802062	9824052
chromosome_1	145981326	146002423	superscaffold14	41358918	9760815	9782444
chromosome_1	146014995	146037703	superscaffold14	41358918	9721868	9742339
chromosome_1	146165061	146181883	superscaffold14	41358918	9558836	9576137
chromosome_1	146246304	146266938	superscaffold14	41358918	9451959	9474696
chromosome_1	146361289	146392740	superscaffold14	41358918	9295890	9328939
chromosome_1	146404216	146421978	superscaffold14	41358918	9263700	9281634
chromosome_1	146465454	146495350	superscaffold14	41358918	9189723	9218467
chromosome_1	146515343	146534976	superscaffold14	41358918	9141558	9163076
chromosome_1	146536231	146554253	superscaffold14	41358918	9120022	9139407
chromosome_1	146570833	146587538	superscaffold14	41358918	9080826	9099258
chromosome_1	146718513	146741095	superscaffold14	41358918	8923455	8946061
chromosome_1	146811957	146838205	superscaffold14	41358918	8817656	8844232
chromosome_1	146868836	146889800	superscaffold14	41358918	8756350	8777490
chromosome_1	146890422	146914033	superscaffold14	41358918	8731016	8755123
chromosome_1	147009975	147031776	superscaffold14	41358918	8602212	8624693
chromosome_1	147477929	147495588	superscaffold14	41358918	8054086	8072940
chromosome_1	147504243	147534366	superscaffold14	41358918	8017844	8048430
chromosome_1	147542219	147571997	superscaffold14	41358918	7981053	8013436
chromosome_1	147590671	147610177	superscaffold14	41358918	7942917	7961891
chromosome_1	147619585	147652198	superscaffold14	41358918	7898883	7933473
